symbol,frequency,return_type,probability,quantile,observations
IWM,15min_within_session,intraday_log_return,0.001,-0.013952086961297204,37556
IWM,15min_within_session,intraday_log_return,0.01,-0.00714564314165349,37556
IWM,15min_within_session,intraday_log_return,0.05,-0.0037367960693936997,37556
IWM,15min_within_session,intraday_log_return,0.5,4.970920809244106e-05,37556
IWM,15min_within_session,intraday_log_return,0.95,0.0035176282074971255,37556
IWM,15min_within_session,intraday_log_return,0.99,0.006727167052748568,37556
IWM,15min_within_session,intraday_log_return,0.999,0.01443396086026359,37556
QQQ,15min_within_session,intraday_log_return,0.001,-0.012793376274903477,37556
QQQ,15min_within_session,intraday_log_return,0.01,-0.006445750047723742,37556
QQQ,15min_within_session,intraday_log_return,0.05,-0.0034415826463365384,37556
QQQ,15min_within_session,intraday_log_return,0.5,6.965728829300133e-05,37556
QQQ,15min_within_session,intraday_log_return,0.95,0.0031897179162230227,37556
QQQ,15min_within_session,intraday_log_return,0.99,0.0059944969116239874,37556
QQQ,15min_within_session,intraday_log_return,0.999,0.013325124053171699,37556
SPY,15min_within_session,intraday_log_return,0.001,-0.011188209572805302,37556
SPY,15min_within_session,intraday_log_return,0.01,-0.0051628879271197635,37556
SPY,15min_within_session,intraday_log_return,0.05,-0.0026111917143150087,37556
SPY,15min_within_session,intraday_log_return,0.5,5.682841186205323e-05,37556
SPY,15min_within_session,intraday_log_return,0.95,0.0024692986964718333,37556
SPY,15min_within_session,intraday_log_return,0.99,0.004851843089792857,37556
SPY,15min_within_session,intraday_log_return,0.999,0.01173101087979628,37556
IWM,daily_session,overnight_log_return,0.001,-0.07459382762170608,1507
IWM,daily_session,overnight_log_return,0.01,-0.03179170867604036,1507
IWM,daily_session,overnight_log_return,0.05,-0.014204259667275477,1507
IWM,daily_session,overnight_log_return,0.5,0.0008531465908916402,1507
IWM,daily_session,overnight_log_return,0.95,0.014335895277194415,1507
IWM,daily_session,overnight_log_return,0.99,0.032416347794186666,1507
IWM,daily_session,overnight_log_return,0.999,0.05572338031738203,1507
QQQ,daily_session,overnight_log_return,0.001,-0.07141529733618114,1507
QQQ,daily_session,overnight_log_return,0.01,-0.029255996112152172,1507
QQQ,daily_session,overnight_log_return,0.05,-0.014646126923338531,1507
QQQ,daily_session,overnight_log_return,0.5,0.0009296476211595461,1507
QQQ,daily_session,overnight_log_return,0.95,0.0133696541403725,1507
QQQ,daily_session,overnight_log_return,0.99,0.02423686448673349,1507
QQQ,daily_session,overnight_log_return,0.999,0.050132786618113205,1507
SPY,daily_session,overnight_log_return,0.001,-0.0752480919661835,1507
SPY,daily_session,overnight_log_return,0.01,-0.02589569696380618,1507
SPY,daily_session,overnight_log_return,0.05,-0.011493373856274313,1507
SPY,daily_session,overnight_log_return,0.5,0.0007747809210396639,1507
SPY,daily_session,overnight_log_return,0.95,0.010819254803987467,1507
SPY,daily_session,overnight_log_return,0.99,0.02242125464282287,1507
SPY,daily_session,overnight_log_return,0.999,0.045288867229939654,1507
IWM,daily_session,regular_session_log_return,0.001,-0.048260360341430455,1508
IWM,daily_session,regular_session_log_return,0.01,-0.03447011232422338,1508
IWM,daily_session,regular_session_log_return,0.05,-0.020966528124141348,1508
IWM,daily_session,regular_session_log_return,0.5,0.0,1508
IWM,daily_session,regular_session_log_return,0.95,0.01840741451201748,1508
IWM,daily_session,regular_session_log_return,0.99,0.02976599601267777,1508
IWM,daily_session,regular_session_log_return,0.999,0.05406570562643834,1508
QQQ,daily_session,regular_session_log_return,0.001,-0.04722084590532145,1508
QQQ,daily_session,regular_session_log_return,0.01,-0.03483597807267001,1508
QQQ,daily_session,regular_session_log_return,0.05,-0.02172200603161016,1508
QQQ,daily_session,regular_session_log_return,0.5,0.0012059453232322603,1508
QQQ,daily_session,regular_session_log_return,0.95,0.017369805947659276,1508
QQQ,daily_session,regular_session_log_return,0.99,0.030047305412534493,1508
QQQ,daily_session,regular_session_log_return,0.999,0.05889787921944645,1508
SPY,daily_session,regular_session_log_return,0.001,-0.04230601359836532,1508
SPY,daily_session,regular_session_log_return,0.01,-0.028347495589852292,1508
SPY,daily_session,regular_session_log_return,0.05,-0.015259933900215338,1508
SPY,daily_session,regular_session_log_return,0.5,0.0006904723979990202,1508
SPY,daily_session,regular_session_log_return,0.95,0.012920040210383147,1508
SPY,daily_session,regular_session_log_return,0.99,0.02470329636966639,1508
SPY,daily_session,regular_session_log_return,0.999,0.046620900951349596,1508
IWM,daily_session,close_to_close_log_return,0.001,-0.11088903600492415,1507
IWM,daily_session,close_to_close_log_return,0.01,-0.04168326899477311,1507
IWM,daily_session,close_to_close_log_return,0.05,-0.025416222075136122,1507
IWM,daily_session,close_to_close_log_return,0.5,0.0005480202904655229,1507
IWM,daily_session,close_to_close_log_return,0.95,0.025086508093000327,1507
IWM,daily_session,close_to_close_log_return,0.99,0.0388233483731513,1507
IWM,daily_session,close_to_close_log_return,0.999,0.07777791368888695,1507
QQQ,daily_session,close_to_close_log_return,0.001,-0.08430869579647401,1507
QQQ,daily_session,close_to_close_log_return,0.01,-0.043203561605402035,1507
QQQ,daily_session,close_to_close_log_return,0.05,-0.025801360579170218,1507
QQQ,daily_session,close_to_close_log_return,0.5,0.0014782206204149162,1507
QQQ,daily_session,close_to_close_log_return,0.95,0.0228860677575641,1507
QQQ,daily_session,close_to_close_log_return,0.99,0.03876462835195805,1507
QQQ,daily_session,close_to_close_log_return,0.999,0.08213588757945606,1507
SPY,daily_session,close_to_close_log_return,0.001,-0.0904481057441134,1507
SPY,daily_session,close_to_close_log_return,0.01,-0.03570572485515095,1507
SPY,daily_session,close_to_close_log_return,0.05,-0.018162964502124623,1507
SPY,daily_session,close_to_close_log_return,0.5,0.0009131935861574902,1507
SPY,daily_session,close_to_close_log_return,0.95,0.017273018936733033,1507
SPY,daily_session,close_to_close_log_return,0.99,0.03040583778918075,1507
SPY,daily_session,close_to_close_log_return,0.999,0.0888558766160783,1507
