symbol,frequency,return_type,threshold_sigma,observations,left_tail_count,right_tail_count,two_sided_count,empirical_left_rate,empirical_right_rate,empirical_two_sided_rate,normal_two_sided_rate,empirical_to_normal_ratio
IWM,15min_within_session,intraday_log_return,3.0,37556,311,261,572,0.008280967089146874,0.006949621897965705,0.015230588987112579,0.0026997960632601866,5.641384989916835
IWM,15min_within_session,intraday_log_return,4.0,37556,119,117,236,0.0031686015550111833,0.0031153477473639364,0.00628394930237512,6.334248366623973e-05,99.20591897668734
IWM,15min_within_session,intraday_log_return,5.0,37556,55,68,123,0.0014644797102992865,0.0018106294600063904,0.0032751091703056767,5.733031437583867e-07,5712.700524952888
QQQ,15min_within_session,intraday_log_return,3.0,37556,303,243,546,0.008067951858557887,0.006470337629140483,0.01453828948769837,0.0026997960632601866,5.38495839946607
QQQ,15min_within_session,intraday_log_return,4.0,37556,115,118,233,0.0030620939397166896,0.00314197465118756,0.006204068590904249,6.334248366623973e-05,97.94482678630573
QQQ,15min_within_session,intraday_log_return,5.0,37556,62,62,124,0.0016508680370646502,0.0016508680370646502,0.0033017360741293003,5.733031437583867e-07,5759.145244667953
SPY,15min_within_session,intraday_log_return,3.0,37556,312,267,579,0.008307593992970498,0.007109383320907445,0.015416977313877943,0.0026997960632601866,5.7104229181151185
SPY,15min_within_session,intraday_log_return,4.0,37556,132,131,263,0.0035147513047182875,0.003488124400894664,0.007002875705612951,6.334248366623973e-05,110.55574869012192
SPY,15min_within_session,intraday_log_return,5.0,37556,73,73,146,0.0019437639791245074,0.0019437639791245074,0.003887527958249015,5.733031437583867e-07,6780.929078399364
IWM,daily_session,overnight_log_return,3.0,1507,15,14,29,0.009953550099535502,0.0092899800928998,0.019243530192435302,0.0026997960632601866,7.1277717803608605
IWM,daily_session,overnight_log_return,4.0,1507,7,5,12,0.0046449900464499,0.0033178500331785005,0.007962840079628402,6.334248366623973e-05,125.71089131246737
IWM,daily_session,overnight_log_return,5.0,1507,3,2,5,0.0019907100199071004,0.0013271400132714001,0.0033178500331785005,5.733031437583867e-07,5787.2524672161535
QQQ,daily_session,overnight_log_return,3.0,1507,15,11,26,0.009953550099535502,0.0072992700729927005,0.017252820172528202,0.0026997960632601866,6.39041607894422
QQQ,daily_session,overnight_log_return,4.0,1507,7,3,10,0.0046449900464499,0.0019907100199071004,0.006635700066357001,6.334248366623973e-05,104.7590760937228
QQQ,daily_session,overnight_log_return,5.0,1507,5,2,7,0.0033178500331785005,0.0013271400132714001,0.0046449900464499,5.733031437583867e-07,8102.153454102615
SPY,daily_session,overnight_log_return,3.0,1507,15,11,26,0.009953550099535502,0.0072992700729927005,0.017252820172528202,0.0026997960632601866,6.39041607894422
SPY,daily_session,overnight_log_return,4.0,1507,7,6,13,0.0046449900464499,0.003981420039814201,0.008626410086264101,6.334248366623973e-05,136.18679892183962
SPY,daily_session,overnight_log_return,5.0,1507,4,2,6,0.0026542800265428003,0.0013271400132714001,0.003981420039814201,5.733031437583867e-07,6944.702960659385
IWM,daily_session,regular_session_log_return,3.0,1508,7,7,14,0.004641909814323607,0.004641909814323607,0.009283819628647215,0.0026997960632601866,3.438711447499621
IWM,daily_session,regular_session_log_return,4.0,1508,1,3,4,0.000663129973474801,0.001989389920424403,0.002652519893899204,6.334248366623973e-05,41.875842884148604
IWM,daily_session,regular_session_log_return,5.0,1508,0,1,1,0.0,0.000663129973474801,0.000663129973474801,5.733031437583867e-07,1156.6829533282153
QQQ,daily_session,regular_session_log_return,3.0,1508,8,6,14,0.005305039787798408,0.003978779840848806,0.009283819628647215,0.0026997960632601866,3.438711447499621
QQQ,daily_session,regular_session_log_return,4.0,1508,2,3,5,0.001326259946949602,0.001989389920424403,0.0033156498673740055,6.334248366623973e-05,52.34480360518576
QQQ,daily_session,regular_session_log_return,5.0,1508,1,2,3,0.000663129973474801,0.001326259946949602,0.001989389920424403,5.733031437583867e-07,3470.048859984646
SPY,daily_session,regular_session_log_return,3.0,1508,15,11,26,0.009946949602122016,0.007294429708222812,0.017241379310344827,0.0026997960632601866,6.386178402499296
SPY,daily_session,regular_session_log_return,4.0,1508,2,4,6,0.001326259946949602,0.002652519893899204,0.003978779840848806,6.334248366623973e-05,62.81376432622291
SPY,daily_session,regular_session_log_return,5.0,1508,2,1,3,0.001326259946949602,0.000663129973474801,0.001989389920424403,5.733031437583867e-07,3470.048859984646
IWM,daily_session,close_to_close_log_return,3.0,1507,8,10,18,0.0053085600530856005,0.006635700066357001,0.011944260119442602,0.0026997960632601866,4.4241342084998445
IWM,daily_session,close_to_close_log_return,4.0,1507,6,4,10,0.003981420039814201,0.0026542800265428003,0.006635700066357001,6.334248366623973e-05,104.7590760937228
IWM,daily_session,close_to_close_log_return,5.0,1507,3,1,4,0.0019907100199071004,0.0006635700066357001,0.0026542800265428003,5.733031437583867e-07,4629.801973772923
QQQ,daily_session,close_to_close_log_return,3.0,1507,12,8,20,0.007962840079628402,0.0053085600530856005,0.013271400132714002,0.0026997960632601866,4.915704676110939
QQQ,daily_session,close_to_close_log_return,4.0,1507,3,6,9,0.0019907100199071004,0.003981420039814201,0.005972130059721301,6.334248366623973e-05,94.28316848435051
QQQ,daily_session,close_to_close_log_return,5.0,1507,2,2,4,0.0013271400132714001,0.0013271400132714001,0.0026542800265428003,5.733031437583867e-07,4629.801973772923
SPY,daily_session,close_to_close_log_return,3.0,1507,13,10,23,0.008626410086264101,0.006635700066357001,0.015262110152621102,0.0026997960632601866,5.653060377527579
SPY,daily_session,close_to_close_log_return,4.0,1507,6,7,13,0.003981420039814201,0.0046449900464499,0.008626410086264101,6.334248366623973e-05,136.18679892183962
SPY,daily_session,close_to_close_log_return,5.0,1507,3,3,6,0.0019907100199071004,0.0019907100199071004,0.003981420039814201,5.733031437583867e-07,6944.702960659385
